GEO (Labels);Arable land;Arable land excluding tillage;Conventional tillage;Conservational tillage;Zero tillage
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;1,960;0,000;1,530;0,130;0,290
Prov. Antwerpen;65,490;2,260;46,820;4,760;11,650
Prov. Limburg (BE);57,430;0,570;44,440;6,300;6,120
Prov. Oost-Vlaanderen;99,420;1,720;80,050;8,950;8,700
Prov. Vlaams-Brabant;63,890;0,250;48,250;11,000;4,390
Prov. West-Vlaanderen;147,130;1,070;122,470;14,700;8,890
Prov. Brabant wallon;56,010;0,080;45,950;6,120;3,870
Prov. Hainaut;155,130;0,040;124,530;19,230;11,330
Prov. Liège;70,510;0,030;53,330;9,250;7,890
Prov. Luxembourg (BE);42,720;0,000;29,350;1,470;11,900
Prov. Namur;95,130;0,030;77,390;10,040;7,670
Severozapaden;746,580;16,760;414,930;314,590;:
Severen tsentralen;652,830;17,890;354,950;279,880;0,110
Severoiztochen;707,530;19,630;359,420;324,750;3,720
Yugoiztochen;617,020;25,290;338,900;252,810;:
Yugozapaden;161,150;7,320;106,240;47,400;0,200
Yuzhen tsentralen;358,860;24,550;216,340;117,450;0,520
Praha;12,960;0,060;9,810;3,100;:
Strední Cechy;475,400;10,980;324,910;135,190;4,320
Jihozápad;439,900;11,980;321,480;99,970;6,470
Severozápad;185,110;6,900;107,120;66,980;4,110
Severovýchod;380,270;10,990;245,350;117,960;5,970
Jihovýchod;592,760;13,890;372,940;198,880;7,050
Strední Morava;266,490;6,950;142,340;113,560;3,630
Moravskoslezsko;120,310;1,950;79,580;36,900;1,880
Hovedstaden;81,210;0,010;71,150;8,590;1,470
Sjælland;439,800;0,060;368,860;65,530;5,350
Syddanmark;707,030;0,240;622,540;73,910;10,330
Midtjylland;701,330;0,040;629,790;62,770;8,720
Nordjylland;431,830;0,010;383,970;41,860;5,990
Stuttgart;309,620;13,330;142,230;151,920;2,130
Karlsruhe;139,280;11,000;45,600;81,970;0,710
Freiburg;138,990;10,080;98,070;30,280;0,550
Tübingen;230,810;13,710;139,380;76,090;1,630
Oberbayern;437,180;23,040;328,960;81,450;3,720
Niederbayern;378,600;19,760;295,480;60,220;3,150
Oberpfalz;278,590;13,600;206,050;57,850;1,090
Oberfranken;211,890;11,630;138,400;59,840;2,020
Mittelfranken;238,570;7,790;152,370;77,220;1,180
Unterfranken;277,610;12,800;125,710;137,530;1,560
Schwaben;259,780;5,930;195,640;56,500;1,700
Berlin;1,010;0,260;0,700;0,060;0,000
Brandenburg;1.014,410;80,180;448,850;478,440;6,940
Bremen;1,640;0,110;1,070;0,470;:
Hamburg;5,720;0,860;4,010;0,850;:
Darmstadt;149,430;7,010;70,920;70,490;1,020
Gießen;116,940;7,170;60,450;48,870;0,440
Kassel;202,930;11,610;116,390;73,640;1,290
Mecklenburg-Vorpommern;1.078,070;102,270;413,400;554,110;8,290
Braunschweig;336,740;12,990;162,180;157,880;3,680
Hannover;412,420;15,890;218,510;174,340;3,670
Lüneburg;531,440;26,660;345,340;156,380;3,060
Weser-Ems;613,370;36,100;447,420;122,370;7,480
Düsseldorf;151,500;9,590;103,310;36,860;1,740
Köln;175,530;7,700;99,310;67,080;1,430
Münster;324,730;20,660;247,890;53,280;2,900
Detmold;264,070;18,520;168,020;76,770;0,760
Arnsberg;127,750;6,190;75,330;44,510;1,720
Koblenz;149,230;11,150;97,730;39,740;0,610
Trier;89,170;10,390;57,510;20,860;0,400
Rheinhessen-Pfalz;166,910;14,140;71,780;79,670;1,330
Saarland;36,630;3,780;18,720;13,720;0,400
Dresden;274,430;13,470;111,590;146,540;2,830
Chemnitz;228,730;14,730;59,650;153,190;1,150
Leipzig;204,350;8,470;68,990;125,170;1,730
Sachsen-Anhalt;996,170;39,480;324,500;622,140;10,050
Schleswig-Holstein;655,610;41,920;507,170;103,920;2,590
Thüringen;609,500;24,940;148,260;427,040;9,250
Eesti;686,560;130,260;299,820;182,570;73,900
Border, Midland and Western (NUTS 2013);:;:;55,460;3,090;1,490
Southern and Eastern (NUTS 2013);:;:;242,770;22,530;9,710
Anatoliki Makedonia, Thraki (NUTS 2010);:;:;:;:;:
Kentriki Makedonia (NUTS 2010);:;:;:;:;:
Dytiki Makedonia (NUTS 2010);:;:;:;:;:
Thessalia (NUTS 2010);:;:;:;:;:
Ipeiros (NUTS 2010);:;:;:;:;:
Ionia Nisia (NUTS 2010);:;:;:;:;:
Dytiki Ellada (NUTS 2010);:;:;:;:;:
Sterea Ellada (NUTS 2010);:;:;:;:;:
Peloponnisos (NUTS 2010);:;:;:;:;:
Attiki;8,280;0,170;5,420;2,240;0,450
Voreio Aigaio;17,780;0,090;16,690;1,000;:
Notio Aigaio;22,390;0,180;15,040;7,090;0,080
Kriti;21,500;1,820;13,330;6,120;0,230
Anatoliki Makedonia, Thraki;336,970;14,920;295,270;24,240;2,550
Kentriki Makedonia;520,840;13,900;466,230;40,180;0,530
Dytiki Makedonia;187,120;13,570;169,300;3,480;0,770
Ipeiros;27,510;2,680;17,360;7,020;0,450
Thessalia;298,900;13,310;208,200;77,270;0,120
Ionia Nisia;7,000;0,150;3,360;3,470;0,030
Dytiki Ellada;113,210;11,190;81,820;20,160;0,030
Sterea Ellada;163,890;9,110;129,540;24,730;0,500
Peloponnisos;36,860;0,560;19,130;16,940;0,220
Galicia;182,540;38,560;120,880;17,530;5,570
Principado de Asturias;18,580;5,180;6,740;6,010;0,650
Cantabria;6,730;1,010;4,050;0,860;0,810
País Vasco;58,980;2,860;51,630;3,730;0,760
Comunidad Foral de Navarra;303,290;10,820;161,010;105,850;25,600
La Rioja;69,080;0,890;44,830;20,210;3,160
Aragón;1.471,110;50,000;1.026,920;244,750;149,440
Comunidad de Madrid;149,280;1,070;126,400;17,270;4,540
Castilla y León;3.470,730;52,550;2.497,540;637,590;283,040
Castilla-la Mancha;2.636,050;11,040;2.040,330;497,900;86,790
Extremadura;641,710;15,310;517,280;90,300;18,820
Cataluña;523,820;33,610;323,310;77,910;88,990
Comunitat Valenciana;104,580;2,110;80,210;15,940;6,320
Illes Balears;114,240;20,850;76,260;14,590;2,540
Andalucía;1.536,910;48,310;1.187,190;245,360;56,070
Región de Murcia;163,430;7,310;127,540;23,440;5,150
Ciudad de Ceuta;:;:;:;0,000;:
Ciudad de Melilla;:;:;:;0,000;0,000
Canarias;11,860;2,680;7,370;0,920;0,890
Île de France;564,990;14,540;288,450;229,740;32,260
Champagne-Ardenne (NUTS 2013);1.254,970;58,400;495,910;654,760;45,890
Picardie (NUTS 2013);1.204,130;21,430;636,280;497,390;49,030
Haute-Normandie (NUTS 2013);579,600;16,460;344,870;185,870;32,400
Centre (FR) (NUTS 2013);2.014,330;153,870;1.046,670;708,320;105,470
Basse-Normandie (NUTS 2013);716,020;94,100;444,740;108,600;68,580
Bourgogne (NUTS 2013);1.020,650;96,870;390,000;496,740;37,050
Nord-Pas-de-Calais (NUTS 2013);686,910;13,840;472,090;134,050;66,920
Lorraine (NUTS 2013);734,630;30,930;345,990;333,000;24,710
Alsace (NUTS 2013);243,740;8,880;189,390;40,420;5,050
Franche-Comté (NUTS 2013);292,190;58,510;123,660;90,950;19,060
Pays de la Loire (NUTS 2013);1.611,870;354,920;724,230;391,310;141,410
Bretagne (NUTS 2013);1.508,680;302,920;840,220;269,410;96,130
Poitou-Charentes (NUTS 2013);1.401,190;200,160;596,680;535,130;69,220
Aquitaine (NUTS 2013);817,960;116,260;386,240;283,600;31,860
Midi-Pyrénées (NUTS 2013);1.506,180;335,740;499,040;613,880;57,520
Limousin (NUTS 2013);390,310;214,060;131,730;38,420;6,100
Rhône-Alpes (NUTS 2013);580,640;105,590;354,430;100,650;19,970
Auvergne (NUTS 2013);604,560;249,550;230,190;99,130;25,690
Languedoc-Roussillon (NUTS 2013);254,570;59,820;97,810;83,280;13,650
Provence-Alpes-Côte d'Azur (NUTS 2013);190,240;39,290;94,360;46,960;9,620
Corse (NUTS 2013);12,370;4,940;4,610;1,690;1,120
Guadeloupe (NUTS 2013);17,270;9,440;7,560;0,190;0,080
Martinique (NUTS 2013);8,040;4,390;2,800;0,780;0,070
Guyane (NUTS 2013);:;:;2,590;2,620;1,080
La Réunion (NUTS 2013);26,660;17,740;7,460;1,280;0,170
Guadeloupe (NUTS 2010);:;:;:;:;:
Martinique (NUTS 2010);:;:;:;:;:
Guyane (NUTS 2010);:;:;:;:;:
Réunion (NUTS 2010);:;:;:;:;:
Jadranska Hrvatska;38,150;4,780;31,650;1,330;0,400
Kontinentalna Hrvatska (NUTS 2016);843,460;37,990;758,000;42,990;4,490
Piemonte;537,930;41,920;471,940;14,340;9,740
Valle d'Aosta/Vallée d'Aoste;0,150;0,090;0,060;0,000;0,000
Liguria;6,630;3,550;2,970;0,000;0,120
Lombardia;722,710;57,060;560,640;92,060;12,950
Provincia Autonoma di Bolzano/Bozen;3,230;0,330;2,200;0,000;0,710
Provincia Autonoma di Trento;3,560;0,050;3,290;0,000;0,220
Veneto;553,880;37,210;490,320;14,080;12,280
Friuli-Venezia Giulia;166,860;9,280;138,930;9,610;9,040
Emilia-Romagna;863,810;256,240;558,750;30,270;18,550
Toscana;448,520;59,830;333,050;18,870;36,780
Umbria;223,130;50,180;156,510;3,670;12,770
Marche;388,320;68,390;282,120;3,900;33,910
Lazio;344,220;56,170;270,830;6,920;10,300
Abruzzo;172,500;26,350;131,570;0,400;14,170
Molise;145,020;16,170;125,290;2,200;1,360
Campania;268,620;30,090;226,220;6,400;5,900
Puglia;675,740;42,670;616,830;7,930;8,310
Basilicata;324,230;53,920;258,810;5,170;6,340
Calabria;170,250;26,810;133,420;4,880;5,150
Sicilia;714,490;59,830;621,130;12,830;20,700
Sardegna;411,240;11,350;357,870;29,890;12,140
Kypros;84,250;2,090;34,790;44,170;3,190
Latvija;1.284,650;358,670;844,770;68,390;12,820
Lietuva (NUTS 2013);2.130,250;157,380;1.745,680;201,420;25,760
Luxembourg;61,980;10,680;33,890;15,970;1,440
Közép-Magyarország (NUTS 2013);261,990;17,590;217,260;23,270;3,860
Közép-Dunántúl;402,240;15,600;336,180;47,310;3,150
Nyugat-Dunántúl;462,380;17,610;392,570;48,220;3,980
Dél-Dunántúl;595,470;15,990;490,950;83,420;5,110
Észak-Magyarország;378,170;23,280;313,730;34,630;6,530
Észak-Alföld;815,740;37,600;720,100;52,110;5,920
Dél-Alföld;905,830;42,890;785,750;67,800;9,390
Malta;9,110;0,150;8,960;0,000;0,000
Groningen;106,990;15,420;69,580;20,930;1,060
Friesland (NL);58,720;22,770;30,020;5,150;0,790
Drenthe;101,560;26,180;55,270;19,560;0,550
Overijssel;83,730;34,280;44,060;5,110;0,280
Gelderland;92,300;34,060;50,420;7,340;0,480
Flevoland;82,410;10,890;61,710;9,050;0,740
Utrecht;11,670;5,740;4,450;1,390;0,090
Noord-Holland;77,420;23,450;45,870;7,020;1,080
Zuid-Holland;58,070;12,730;40,800;4,080;0,460
Zeeland;102,340;10,170;80,480;10,620;1,070
Noord-Brabant;181,680;59,160;112,860;8,770;0,900
Limburg (NL);71,270;16,540;37,790;16,590;0,340
Burgenland (AT);152,130;20,330;71,230;57,700;2,880
Niederösterreich;682,440;86,300;319,260;261,960;14,920
Wien;4,850;0,650;1,730;2,470;:
Kärnten;61,310;15,910;39,500;5,440;0,450
Steiermark;136,410;22,190;96,920;16,000;1,300
Oberösterreich;290,110;39,990;196,350;50,160;3,620
Salzburg;5,530;2,750;2,570;0,180;0,030
Tirol;8,660;3,980;4,000;0,650;0,030
Vorarlberg;2,940;1,140;1,030;0,740;0,020
Lódzkie (NUTS 2013);755,770;2,980;742,010;7,160;3,630
Mazowieckie (NUTS 2013);1.220,770;21,440;1.182,080;8,320;8,940
Malopolskie;306,020;2,720;300,280;2,560;0,460
Slaskie;263,160;1,150;253,920;3,570;4,520
Lubelskie (NUTS 2013);1.093,830;8,830;1.068,220;11,670;5,110
Podkarpackie (NUTS 2013);325,550;2,250;320,890;1,540;0,870
Swietokrzyskie (NUTS 2013);333,070;3,560;325,730;1,030;2,750
Podlaskie (NUTS 2013);694,280;19,600;668,560;4,540;1,580
Wielkopolskie;1.432,020;10,430;1.341,790;43,460;36,330
Zachodniopomorskie;667,360;22,640;581,160;35,880;27,690
Lubuskie;299,660;12,480;255,280;19,170;12,730
Dolnoslaskie;750,350;5,550;660,230;40,970;43,590
Opolskie;468,580;0,770;443,670;9,840;14,300
Kujawsko-Pomorskie;922,460;2,920;868,930;21,930;28,680
Warminsko-Mazurskie;684,000;37,210;574,060;56,030;16,690
Pomorskie;588,740;6,110;534,820;28,970;18,840
Norte;172,300;47,440;115,400;9,100;0,360
Algarve;26,350;17,020;4,700;4,340;0,290
Centro (PT);188,450;39,030;108,270;40,150;0,990
Área Metropolitana de Lisboa;33,530;4,880;14,200;13,740;0,720
Alentejo;598,550;186,920;84,340;314,520;12,760
Região Autónoma dos Açores (PT);22,220;2,470;19,500;0,130;0,120
Região Autónoma da Madeira (PT);:;:;:;:;:
Nord-Vest;789,430;92,910;570,750;15,200;110,570
Centru;494,210;46,090;340,420;24,840;82,860
Nord-Est;1.166,350;131,580;902,090;8,740;123,930
Sud-Est;1.630,830;168,950;1.265,120;62,490;134,270
Sud - Muntenia;1.679,030;222,790;1.342,470;55,670;58,110
Bucuresti - Ilfov;61,170;6,450;54,390;0,090;0,250
Sud-Vest Oltenia;1.083,540;149,690;808,640;32,590;92,610
Vest;908,870;133,460;622,310;17,730;135,380
Vzhodna Slovenija;:;:;120,720;17,700;0,700
Vzhodna Slovenija (NUTS 2010);:;:;:;:;:
Zahodna Slovenija;:;:;22,090;1,570;0,220
Zahodna Slovenija (NUTS 2010);:;:;:;:;:
Bratislavský kraj;66,490;4,910;45,430;8,130;8,020
Západné Slovensko;738,150;29,400;518,240;152,740;37,760
Stredné Slovensko;209,380;34,120;140,640;22,530;12,080
Východné Slovensko;332,490;33,830;244,980;41,270;12,400
Länsi-Suomi;:;:;356,200;121,420;29,930
Helsinki-Uusimaa;:;:;49,630;41,410;24,010
Etelä-Suomi;:;:;186,350;173,160;60,350
Pohjois- ja Itä-Suomi;:;:;230,200;50,010;13,230
Åland;:;:;5,390;1,060;0,040
Stockholm;:;:;23,830;16,010;1,610
Östra Mellansverige;:;:;308,490;126,420;8,270
Småland med öarna;:;:;126,680;26,250;1,920
Sydsverige;:;:;225,710;109,090;8,080
Västsverige;:;:;294,650;39,900;5,510
Norra Mellansverige;:;:;80,920;14,470;0,700
Mellersta Norrland;:;:;16,620;4,160;0,510
Övre Norrland;:;:;24,430;4,650;0,510
Tees Valley and Durham;:;:;36,400;15,580;0,630
Northumberland and Tyne and Wear;:;:;56,380;34,850;3,660
Cumbria;:;:;19,090;0,620;0,570
Greater Manchester;:;:;2,010;:;0,010
Lancashire;:;:;18,480;3,790;0,190
Cheshire;:;:;20,750;5,610;1,030
Merseyside;:;:;4,480;1,850;0,190
East Yorkshire and Northern Lincolnshire;:;:;140,680;73,400;7,330
North Yorkshire;:;:;150,180;65,490;7,530
South Yorkshire;:;:;17,080;17,500;1,480
West Yorkshire;:;:;12,200;7,190;0,590
Derbyshire and Nottinghamshire;:;:;57,410;57,600;7,460
Leicestershire, Rutland and Northamptonshire;:;:;70,550;101,320;19,610
Lincolnshire;:;:;201,270;166,870;21,980
Herefordshire, Worcestershire and Warwickshire;:;:;71,590;74,370;12,150
Shropshire and Staffordshire;:;:;85,860;47,180;5,970
West Midlands;:;:;2,960;3,950;:
East Anglia;:;:;393,000;259,050;25,600
Bedfordshire and Hertfordshire;:;:;41,720;48,130;12,040
Essex;:;:;80,020;73,150;14,040
Inner London (NUTS 2010);:;:;0,000;0,000;0,000
Outer London (NUTS 2010);:;:;0,000;0,000;0,000
Inner London - West;:;:;0,000;0,000;0,000
Outer London - East and North East;:;:;1,090;1,260;0,000
Outer London - South;:;:;0,340;0,730;0,100
Outer London - West and North West;:;:;:;:;0,000
Berkshire, Buckinghamshire and Oxfordshire;:;:;54,240;118,860;13,830
Surrey, East and West Sussex;:;:;28,580;35,000;4,030
Hampshire and Isle of Wight;:;:;30,730;77,200;8,000
Kent;:;:;26,520;50,470;10,180
Gloucestershire, Wiltshire and Bristol/Bath area;:;:;81,140;119,660;7,400
Dorset and Somerset;:;:;52,930;50,620;3,890
Cornwall and Isles of Scilly;:;:;29,880;6,270;0,630
Devon;:;:;48,680;11,980;1,960
West Wales and The Valleys;:;:;23,900;3,310;2,700
East Wales;:;:;28,410;9,600;1,920
Eastern Scotland (NUTS 2013);:;:;343,530;36,860;13,520
South Western Scotland (NUTS 2013);:;:;83,290;3,230;4,040
North Eastern Scotland;:;:;193,940;9,550;9,060
